ds,y,month,quarter,year,month_sin,month_cos,y_log,lag_1,lag_2,lag_3,lag_6,lag_12,roll_mean_3,roll_mean_6,roll_std_3,diff_1_3,diff_1_12,region_Caribbean,region_Central Africa,region_Central America,region_Central Asia,region_Central US,region_Eastern Africa,region_Eastern Asia,region_Eastern Europe,region_Eastern US,region_North Africa,region_Northern Europe,region_Oceania,region_South America,region_Southeastern Asia,region_Southern Africa,region_Southern Asia,region_Southern Europe,region_Southern US,region_Western Africa,region_Western Asia,region_Western Europe,region_Western US
2014-01-01,2223.78,1,1,2014,0.49999999999999994,0.8660254037844387,7.707413313307252,5.843051541965209,7.735769834344861,6.6509256700131205,7.175362697141748,0.0,6.743249015441063,6.779747549705303,0.9497306637465156,-0.8078741280479118,5.843051541965209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,347.12999999999994,2,1,2014,0.8660254037844386,0.5000000000000001,5.852575973235498,7.707413313307252,5.843051541965209,7.735769834344861,7.384746934995499,6.268490039371234,7.095411563205775,6.868422652399555,1.0846682627294844,-0.028356521037609106,1.4389232739360178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,270.59999999999997,3,1,2014,1.0,6.123233995736766e-17,5.604330395684541,5.852575973235498,7.707413313307252,5.843051541965209,5.888628619771381,3.2669037938787824,6.467680276169319,6.613060825439554,1.0736508656105068,0.009524431270289568,2.585672179356716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,15.48,4,2,2014,0.8660254037844387,-0.4999999999999998,2.8021475244813256,5.604330395684541,5.852575973235498,7.707413313307252,6.6509256700131205,7.1524019716828295,6.38810656074243,6.565677788091747,1.1492755097085103,-2.103082917622711,-1.5480715759982884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,820.41,5,2,2014,0.49999999999999994,-0.8660254037844387,6.71102237578485,2.8021475244813256,5.604330395684541,5.852575973235498,7.735769834344861,7.2093550493929035,4.753017964467122,5.924214763836448,1.694056690875833,-3.0504284487541726,-4.407207524911578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,1475.67,6,2,2014,1.2246467991473532e-16,-1.0,7.297544831704867,6.71102237578485,2.8021475244813256,5.604330395684541,5.843051541965209,8.497159449415111,5.039166765316906,5.753423520743112,2.0147910803867553,1.106691980100309,-1.786137073630261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,614.3100000000001,7,3,2014,-0.4999999999999997,-0.8660254037844388,6.422126205849061,7.297544831704867,6.71102237578485,2.8021475244813256,7.707413313307252,7.175362697141748,5.603571577323681,5.995839069033056,2.443764450741392,4.495397307223541,0.12218213456311933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,4974.053999999998,8,3,2014,-0.8660254037844385,-0.5000000000000004,8.512191503805143,6.422126205849061,7.297544831704867,6.71102237578485,5.852575973235498,7.384746934995499,6.810231137779593,5.7816245511233575,0.44606190878197616,-0.28889616993578926,-0.9626207291464377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,652.65,9,3,2014,-1.0,-1.8369701987210297e-16,6.482572040007869,8.512191503805143,6.422126205849061,7.297544831704867,5.604330395684541,5.888628619771381,7.410620847119691,6.224893806218297,1.0496108213888804,1.214646672100276,2.6235628840337624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,1782.6,10,4,2014,-0.8660254037844386,0.5000000000000001,7.4863890727533215,6.482572040007869,8.512191503805143,6.422126205849061,2.8021475244813256,6.6509256700131205,7.138963249887357,6.371267413605519,1.1896345248585225,0.06044583415880833,-0.16835363000525128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-01,2164.3199999999997,11,4,2014,-0.5000000000000004,0.8660254037844384,7.680323435518978,7.4863890727533215,6.482572040007869,8.512191503805143,6.71102237578485,7.735769834344861,7.493717538855445,7.151974338317519,1.0148295776965461,-1.0258024310518215,-0.24938076159153955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-01,1884.5339999999978,12,4,2014,-2.4492935982947064e-16,1.0,7.541966348887991,7.680323435518978,7.4863890727533215,6.482572040007869,7.297544831704867,5.843051541965209,7.216428182760056,7.313524514939872,0.6428928860678709,1.1977513955111085,1.837271893553769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,1387.47,1,1,2015,0.49999999999999994,0.8660254037844387,7.2359577004637465,7.541966348887991,7.680323435518978,7.4863890727533215,6.422126205849061,7.707413313307252,7.56955961905343,7.354261434470394,0.09986829168538669,0.05557727613466934,-0.1654469644192611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,3111.3839999999977,2,1,2015,0.8660254037844386,0.5000000000000001,8.043144271002149,7.2359577004637465,7.541966348887991,7.680323435518978,8.512191503805143,5.852575973235498,7.4860824949569045,7.489900016906176,0.2273927889587676,-0.44436573505523125,1.3833817272282483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,604.59,3,1,2015,1.0,6.123233995736766e-17,6.406203189437368,8.043144271002149,7.2359577004637465,7.541966348887991,6.482572040007869,5.604330395684541,7.607022773451295,7.411725478105676,0.4075068020255829,0.5011779221141577,2.4388138753176074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,285.81,4,2,2015,0.8660254037844387,-0.4999999999999998,5.658819975621094,6.406203189437368,8.043144271002149,7.2359577004637465,7.4863890727533215,2.8021475244813256,7.228435053634421,7.398997336343926,0.8184964684041804,-0.8297545110263789,3.604055664956042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-01,154.83,5,2,2015,0.49999999999999994,-0.8660254037844387,5.048765669457524,5.658819975621094,6.406203189437368,8.043144271002149,7.680323435518978,6.71102237578485,6.70272247868687,7.094402486821888,1.2195053722960254,-2.384324295381054,-1.0522024001637558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,966.3,6,2,2015,1.2246467991473532e-16,-1.0,6.874508685188501,5.048765669457524,5.658819975621094,6.406203189437368,7.541966348887991,7.297544831704867,5.704596278171995,6.655809525811645,0.6798755456469073,-1.357437519979844,-2.2487791622473434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,75.03,7,3,2015,-0.4999999999999997,-0.8660254037844388,4.331127999240345,6.874508685188501,5.048765669457524,5.658819975621094,7.2359577004637465,6.422126205849061,5.860698110089039,6.544566581861731,0.9294624660279749,1.2156887095674067,0.4523824793394402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,3142.23,8,3,2015,-0.8660254037844385,-0.5000000000000004,8.05300621261204,4.331127999240345,6.874508685188501,5.048765669457524,8.043144271002149,8.512191503805143,5.418134117962123,6.060428298324497,1.311305119518927,-0.7176376702171785,-4.181063504564798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,1848.1499999999999,9,3,2015,-1.0,-1.8369701987210297e-16,7.522481353029072,8.05300621261204,4.331127999240345,6.874508685188501,6.406203189437368,6.482572040007869,6.419547632346962,6.062071955259479,1.902192558206118,1.1784975274235387,1.5704341726041706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,2786.4900000000002,10,4,2015,-0.8660254037844386,0.5000000000000001,7.932896828317993,7.522481353029072,8.05300621261204,4.331127999240345,5.658819975621094,7.4863890727533215,6.635538521627152,6.248118315858096,2.0132300038555373,3.1913533537887266,0.03609228027575018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-01,1757.0339999999978,11,4,2015,-0.5000000000000004,0.8660254037844384,7.471951418217374,7.932896828317993,7.522481353029072,8.05300621261204,5.048765669457524,7.680323435518978,7.836128131319701,6.627131124640912,0.278185715301769,-0.1201093842940466,0.2525733927990155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,2940.083999999998,12,4,2015,-2.4492935982947064e-16,1.0,7.986533499859819,7.471951418217374,7.932896828317993,7.522481353029072,6.874508685188501,7.541966348887991,7.642443199854814,7.030995416100887,0.25280585692108104,-0.05052993481169743,-0.07001493067061659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,3055.11,1,1,2013,0.49999999999999994,0.8660254037844387,8.024898144403013,8.89425525846685,8.839180743953634,9.059202083671488,7.261414680740407,6.598795091236936,8.930879362030659,8.434561482452946,0.11449166434372623,-0.16494682520463755,2.2954601672299146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,798.42,2,1,2013,0.8660254037844386,0.5000000000000001,6.6838864647283325,8.024898144403013,8.89425525846685,8.839180743953634,8.30078143067012,8.231876319670738,8.5861113822745,8.561808726396713,0.4868044004616884,-0.8142825995506211,-0.2069781752677251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,1171.3600000000001,3,1,2013,1.0,6.123233995736766e-17,7.066774090206256,6.6838864647283325,8.024898144403013,8.89425525846685,8.252534697215166,7.2445346113017814,7.867679955866066,8.292326232073082,1.1135397254648793,-2.2103687937385184,-0.560648146573449,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,6931.773999999998,4,2,2013,0.8660254037844387,-0.4999999999999998,8.84401530069013,7.066774090206256,6.6838864647283325,8.024898144403013,9.059202083671488,7.438754049628741,7.258519566445869,8.094699464238262,0.6907624968104059,-0.9581240541967562,-0.3719799594224851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,3377.0299999999997,5,2,2013,0.49999999999999994,-0.8660254037844387,8.12504797832298,8.84401530069013,7.066774090206256,6.6838864647283325,8.839180743953634,8.406153021459229,7.531558618541574,8.058835000408036,1.1526307476045101,2.160128835961797,0.4378622792309006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,5423.03,6,2,2013,1.2246467991473532e-16,-1.0,8.598594360578387,8.12504797832298,8.84401530069013,7.066774090206256,8.89425525846685,8.829259731425608,8.01194578973979,7.939812872802928,0.8940026056210791,1.058273888116724,-0.7042117531026282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,5079.123999999998,7,3,2013,-0.4999999999999997,-0.8660254037844388,8.53309094972344,8.598594360578387,8.12504797832298,8.84401530069013,8.024898144403013,7.261414680740407,8.5225525465305,7.890536056488184,0.36546582709019376,-0.24542094011174242,1.3371796798379796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,1324.07,8,3,2013,-0.8660254037844385,-0.5000000000000004,7.189220567213536,8.53309094972344,8.598594360578387,8.12504797832298,6.6838864647283325,8.30078143067012,8.418911096208271,7.975234857374922,0.25659174431060217,0.40804297140046053,0.2323095190533202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,6219.337999999996,9,3,2013,-1.0,-1.8369701987210297e-16,8.735579525092827,7.189220567213536,8.53309094972344,8.598594360578387,7.066774090206256,8.252534697215166,8.106968625838457,8.059457207789121,0.7954676602733536,-1.4093737933648507,-1.06331413000163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,12308.091999999993,10,4,2013,-0.8660254037844386,0.5000000000000001,9.41809345528823,8.735579525092827,7.189220567213536,8.53309094972344,8.84401530069013,9.059202083671488,8.152630347343269,8.337591446936884,0.8404577378583621,0.20248857536938658,-0.32362255857866096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,6428.813999999998,11,4,2013,-0.5000000000000004,0.8660254037844384,8.768700889908141,9.41809345528823,8.735579525092827,7.189220567213536,8.12504797832298,8.839180743953634,8.447631182531532,8.4332711393699,1.1419957415798252,2.228872888074693,0.5789127113345955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,6900.84,12,4,2013,-2.4492935982947064e-16,1.0,8.83954332170278,8.768700889908141,9.41809345528823,8.735579525092827,8.598594360578387,8.89425525846685,8.974124623429732,8.540546624634095,0.3848447725358332,0.03312136481531347,-0.12555436855870994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,2447.33,1,1,2014,0.49999999999999994,0.8660254037844387,7.803161438468553,8.83954332170278,8.768700889908141,9.41809345528823,8.53309094972344,8.024898144403013,9.008779222299717,8.580704784821492,0.3562418680206981,-0.5785501335854484,0.8146451772997683,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,4005.15,2,1,2014,0.8660254037844386,0.5000000000000001,8.295585959359009,7.803161438468553,8.83954332170278,8.768700889908141,7.189220567213536,6.6838864647283325,8.470468550026494,8.459049866279011,0.5789894199270793,-0.9655394514395876,1.1192749737402208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,3166.13,3,1,2014,1.0,6.123233995736766e-17,8.060581094006885,8.295585959359009,7.803161438468553,8.83954332170278,8.735579525092827,7.066774090206256,8.312763573176783,8.643444098303258,0.5184044316808911,-0.5439573623437717,1.2288118691527528,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,4249.38,4,2,2014,0.8660254037844387,-0.4999999999999998,8.354763669686175,8.060581094006885,8.295585959359009,7.803161438468553,9.41809345528823,8.84401530069013,8.05310949727815,8.530944359788935,0.24629727112131938,0.2574196555383317,-0.7834342066832445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,9040.247999999996,5,2,2014,0.49999999999999994,-0.8660254037844387,9.109552496955114,8.354763669686175,8.060581094006885,8.295585959359009,8.768700889908141,8.12504797832298,8.236976907684024,8.353722728855258,0.15560241856092308,0.05917771032716601,0.2297156913631948,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,12800.891999999994,6,2,2014,1.2246467991473532e-16,-1.0,9.457348251484516,9.109552496955114,8.354763669686175,8.060581094006885,8.83954332170278,8.598594360578387,8.508299086882728,8.410531330029754,0.5410777155835252,1.0489714029482293,0.5109581363767273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,3046.42,7,3,2014,-0.4999999999999997,-0.8660254037844388,8.022050609985431,9.457348251484516,9.109552496955114,8.354763669686175,7.803161438468553,8.53309094972344,8.973888139375271,8.51349881832671,0.5636726030622946,1.1025845817983413,0.9242573017610756,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,6728.133999999998,8,3,2014,-0.8660254037844385,-0.5000000000000004,8.814201736795955,8.022050609985431,9.457348251484516,9.109552496955114,8.295585959359009,7.189220567213536,8.862983786141688,8.549980346912855,0.7487435654397033,-1.087501886969683,0.8328300427718949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,10737.767999999996,9,3,2014,-1.0,-1.8369701987210297e-16,9.2816156501236,8.814201736795955,8.022050609985431,9.457348251484516,8.060581094006885,8.735579525092827,8.764533532755303,8.636416309819014,0.7189367342073161,-0.6431465146885618,0.07862221170312722,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,14683.433999999997,10,4,2014,-0.8660254037844386,0.5000000000000001,9.594543300159252,9.2816156501236,8.814201736795955,8.022050609985431,8.354763669686175,9.41809345528823,8.70595599896833,8.8399220691718,0.636721192833218,1.2595650401381686,-0.13647780516462937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-01,10136.503999999997,11,4,2014,-0.5000000000000004,0.8660254037844384,9.22399709299819,9.594543300159252,9.2816156501236,8.814201736795955,9.109552496955114,8.768700889908141,9.23012022902627,9.046552007583978,0.3927111822619289,0.7803415633632973,0.825842410251111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-01,11099.171999999993,12,4,2014,-2.4492935982947064e-16,1.0,9.314715882675866,9.22399709299819,9.594543300159252,9.2816156501236,9.457348251484516,8.83954332170278,9.366718681093682,9.065626106924492,0.19939412559195874,-0.05761855712541042,0.3844537712954086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,2305.16,1,1,2015,0.49999999999999994,0.8660254037844387,7.743339082637122,9.314715882675866,9.22399709299819,9.594543300159252,8.022050609985431,7.803161438468553,9.377752091944437,9.041854045456382,0.19314837734129187,-0.2798274174833857,1.511554444207313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,1502.1200000000001,2,1,2015,0.8660254037844386,0.5000000000000001,7.315298226885267,7.743339082637122,9.314715882675866,9.22399709299819,8.814201736795955,8.295585959359009,8.760684019437061,8.995402124231665,0.8822134180709895,-1.4806580103610676,-0.5522468767218873,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,7871.937999999996,3,1,2015,1.0,6.123233995736766e-17,8.97118658813758,7.315298226885267,7.743339082637122,9.314715882675866,9.2816156501236,8.060581094006885,8.124451064066086,8.745584872579883,1.0527832147993865,-1.999417655790599,-0.7452828671216176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,5912.703999999998,4,2,2015,0.8660254037844387,-0.4999999999999998,8.685027648432754,8.97118658813758,7.315298226885267,7.743339082637122,9.594543300159252,8.354763669686175,8.00994129921999,8.693846695582215,0.8595342475130922,1.227847505500459,0.6164229184514056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-01,4627.743999999998,5,2,2015,0.49999999999999994,-0.8660254037844387,8.440040835980694,8.685027648432754,8.97118658813758,7.315298226885267,9.22399709299819,9.109552496955114,8.323837487818535,8.542260753627797,0.8850623228485764,1.3697294215474871,-0.42452484852235983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,7749.72,6,2,2015,1.2246467991473532e-16,-1.0,8.955541021257961,8.440040835980694,8.685027648432754,8.97118658813758,9.314715882675866,9.457348251484516,8.698751690850344,8.411601377458215,0.2658387001807485,-0.5311457521568865,-1.0173074155038222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,6341.543999999998,7,3,2015,-0.4999999999999997,-0.8660254037844388,8.755035228776926,8.955541021257961,8.440040835980694,8.685027648432754,7.743339082637122,8.022050609985431,8.69353650189047,8.351738900555231,0.2578554065665516,0.2705133728252065,0.9334904112725297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,8117.063999999998,8,3,2015,-0.8660254037844385,-0.5000000000000004,9.001846981082966,8.755035228776926,8.955541021257961,8.440040835980694,7.315298226885267,8.814201736795955,8.716872362005196,8.520354924911864,0.25986037319184635,0.31499439279623154,-0.059166508019028896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,10424.563999999998,9,3,2015,-1.0,-1.8369701987210297e-16,9.252016145923035,9.001846981082966,8.755035228776926,8.955541021257961,8.97118658813758,9.2816156501236,8.904141077039284,8.801446383944814,0.13118870366140584,0.046305959825005516,-0.27976866904063336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,16477.147999999997,10,4,2015,-0.8660254037844386,0.5000000000000001,9.709790418507733,9.252016145923035,9.001846981082966,8.755035228776926,8.685027648432754,9.594543300159252,9.00296611859431,8.848251310242391,0.24849234868185946,0.49698091714610904,-0.34252715423621716,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-01,13968.815999999992,11,4,2015,-0.5000000000000004,0.8660254037844384,9.54465428108338,9.709790418507733,9.252016145923035,9.001846981082966,8.440040835980694,9.22399709299819,9.32121784850458,9.019045105254886,0.3590092399623421,0.7079434374247668,0.4857933255095439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,11938.267999999996,12,4,2015,-2.4492935982947064e-16,1.0,9.387588078534607,9.54465428108338,9.709790418507733,9.252016145923035,8.955541021257961,9.314715882675866,9.502153615171386,9.203147346105334,0.23182763233129824,0.2926381351603453,0.22993839840751384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,1454.46,1,1,2013,0.49999999999999994,0.8660254037844387,7.283077280843082,7.6722971111114004,7.940389432988432,7.590114477957477,6.367929863365841,7.624274200165037,7.734267007352436,7.532067056129346,0.18317569997293842,0.08218263315392349,0.04802291094636324,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,238.29,2,1,2013,0.8660254037844386,0.5000000000000001,5.477676205491225,7.283077280843082,7.6722971111114004,7.940389432988432,7.55269597499855,7.1804277691236145,7.6319212749809715,7.684591625708886,0.3305109263653919,-0.6573121521453507,0.10264951171946723,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,155.79000000000002,3,1,2013,1.0,6.123233995736766e-17,5.054907330372359,5.477676205491225,7.283077280843082,7.6722971111114004,8.068975476354371,5.954333648769775,6.811016865815236,7.338754997457664,1.1709914630019618,-2.1946209056201758,-0.4766574432785502,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,0.0,4,2,2013,0.8660254037844387,-0.4999999999999998,0.0,5.054907330372359,5.477676205491225,7.283077280843082,7.590114477957477,7.244070360397974,5.938553605568888,6.836410306460661,1.1834235570884732,-2.228169950470723,-2.1891630300256155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,653.88,5,2,2013,0.49999999999999994,-0.8660254037844387,6.484452012744093,0.0,5.054907330372359,5.477676205491225,7.940389432988432,6.96947106996279,3.5108611786211945,5.571391226801083,3.04783415593834,-5.477676205491225,-6.96947106996279,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
